LEVEL,PART NO.,Design No.,QPA,Part Type,DESCRIPTION,MFG PART
1,P043038034Z00110,4PCS/箱,0.25,外箱,外箱 425X375X335mm   材質K=K  正嘜雙面印刷內容,
1,P041040003B00100,2PCS/箱,0.5,隔板,隔板 410*365*3mm 材質:B33,
1,P035019002P00100,,1,珍珠棉,珍珠棉蓋板 料號:D900BCCP10 350*190*15mm 白色,
1,P035019002P00200,,1,珍珠棉,珍珠棉底盒 料號:D900BCCP00 350*190*130mm 白色,
1,P036020016A00110,,1,牛皮盒,牛皮盒 360X200X155mm 材質：A3瓦坑紙  扣底式,
1,MPKCMNPRT0011N10,48PCS/1PCS,0.0208,棧板,塑膠棧板 L1200*W1000*150mm   PE新料 TP-網格田字型21#  藍色  動承載能力：0.8噸 靜載：3噸 符合ROHS 免檢出口專用,
1,P065005001B00100,48PCS/4PCS,0.0833,紙護角,紙護角 650*50*50*5mm 紙質  ROHS,
1,P075005001B00101,48PCS/2PCS,0.0417,紙護角,紙護角 750*50*50*5mm 紙質  ROHS,
1,P100005001B00102,48PCS/2PCS,0.0417,紙護角,紙護角 1000*50*50*5mm 紙質  ROHS,
1,WMA03120WD00011T,台規AC線,1,AC線,台規AC線 C14 11A/125V VCTF 3x1.25mm² BLK 1.2m,
1,911CQ010011100F0,,1,充電器,CQ01001 D900BC-B12S181A 49.8V/18A/900W充電器,
