LEVEL,PART NO.,Design No.,QPA,Part Type,DESCRIPTION,MFG PART
2,C07130MSSLD00N00,,1,插頭.插座,C14 AC 連接器+開關,R-301SN(79)
2,MPNCMNPRT0011N10,,4,插頭.插座,PCB板間隔柱  MOUNTING HOLE ￠3.0 / PCB THICKNESS 1.6 / 撐高長度8mm / M3X0.5P SCBD-8V0(B),
2,FDA060250B000F0T,,2,風扇,12V 0.26A / 60*60*25mm / 線長250mm 加套管/ 轉數6500  JST XH 2.5mm 3P,A160251MBO305000 (GD0601000360 )
2,WNN03007JJ00011T,For SLED10,1,訊號線,24AWG XH-3A 兩端PH2.5 L=70MM 白色端子,XH-3A
2,WNN02010JJ00011T,FOR CN11,1,訊號線,24AWG XH-2A 兩端PH2.5 正反 L=100MM 白色端子,XH-2A
2,MHCCQ01001011F10,,1,外殼,900W 機殼底座 D900BCC101-01/材質：SGCC 電解板 表面單面噴粉黑色,
2,MHTCQ01001011F10,,1,外殼,900W 機殼上蓋 D900BCC200-01/材質：SGCC 電解板 表面單面噴粉黑色,
2,MHPCQ01001011F10,,1,外殼,900W 機殼側蓋 D900BCC300-01/材質：SGCC 電解板 表面單面噴粉黑色,
2,MPNCQ01001011F10,,1,外殼,900W 伸縮塑膠把手  孔距167mm/黑色 塑膠(IF-TTC-22-200),
2,MRSCMNPRT0031F10,,4,絕緣料其它類,橡膠腳墊 帶不銹鋼墊片 黑色 17*14*10*4*8,
2,PB14905900001F10,,1,粘貼銘牌,粘貼銘牌 D900BC-B12S181A_L00 119X44mm 厚度0.13MMT 消銀龍 啞膜 耐溫130度 黑底白字 TUE/LOGO,
2,SMM040L15FT02010,鎖把手,2,五金件,黑色十字沉頭螺絲 M4*15mm + M4螺母,
2,STM050L12TR02010,鎖風扇,8,五金件,黑色大扁頭十字傘頭自攻螺 M5*12mm,
2,SMM030L05FT02010,鎖外殼,10,五金件,黑色十字小沉頭螺絲 M3*5mm,
2,SNM030T24H550110,AC INLET,2,五金件,M3螺母,
2,SMM030L05PJ01010,鎖PCB、地線、鎖鐵殼側板、AC INLET,19,五金件,"螺絲/PM3*5mm/圓頭/碳鋼,鍍鎳",
2,SMM030L06PJ01010,鎖腳墊,4,五金件,"螺絲/PM3*6mm/圓頭/碳鋼,鍍鎳",
2,882C22B010801000,,1,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W PWR BD,
2,882S254040201000,,1,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W BS BD,
2,822S254010001000,,1,組裝半成品,PCBA D900BC-B12S181A 49.8V/18A/900W TW60 BD,
