LEVEL,PART NO.,Design No.,QPA,Part Type,DESCRIPTION,MFG PART
3,1010302531100HF0,,1,PCB板,C22B01-08 244*154*1.6mm 雙面板 FR-4 94V-0 2oz L-F HASL 綠油白字/600W,
3,1130100020210HF0,PC10,1,光耦合器件(貼片式),PHOTOCOUPLER CTR:200 to 400% SSOP-4,EL3H7(C)(TA)-G
3,1130100140210HF0,PC11.PC12,2,光耦合器件(貼片式),PHOTOCOUPLER CTR:200 to 400% SOP-4,EL1019(TA)-VG
3,1070200230800HFT,SU10.U12.U13,3,貼片IC,431 AZ431AN-ATRE1 ±0.4% SOT-23,TL431
3,1070201140200HFT,SU11,1,貼片IC,PSR AC/DC Switch OP-7,OB2500PCPA
3,1070202124900HFT,SU12,1,貼片IC,MCU  HT45F5Q-3 24 SSOP-A,HT45F5Q-3
3,1070202050300HFT,U10,1,貼片IC,MPS6924A  SOP-8,MPS6924A
3,1070202490500HFT,U11,1,貼片IC,TEA2017AAT/2YC01 SOP-16,TEA2017AAT/2YC01
3,1080101391200HFT,Q26,1,場效應管(貼片式),N-MOS 0.31A/60V SOT-23,LM7002KNEI3A 
3,1080201401200HFT,SQ11,1,場效應管(貼片式),P-MOS -3.4A/-30V SOT-23,LM30598PLI3A
3,1040300120600HFT,D12.D18.D19.D20.D21.D26.SD11.SD12.SD14.SD15.SD16,11,貼片二極管,200V 1A trr 35ns SOD-123,ES1D 
3,1040101175900HFT,D14.SD17.SD18,3,貼片二極管,Schottky Diode 1A/100V SOD-123FL,K110 
3,1040900052000HFT,D22,1,貼片二極管,1A/1000V SMA(DO-214AC,US1M  
3,1040301938200HFT,D23,1,貼片二極管,75V 150mA SOT-323,BAV99W 
3,1040100011700HFT,SD10,1,貼片二極管,3A/100V SMAF,SS310FL
3,1040900050600HFT,SD13,1,貼片二極管,1A/1KV  SOD-123,1N4007(A7) 
3,1040500480600HFT,SZD10.ZD13,2,貼片二極管,13V 0.5W SOD-123,MM1Z13
3,1040501990600HFT,ZD10,1,貼片二極管,30V 0.5W  SOD-123,MM1Z30
3,1040500530600HFT,ZD12,1,貼片二極管,24V 0.5W SOD-123,MM1Z24
3,1040500500600HFT,ZD11,1,貼片二極管,15V 0.5W SOD-123,MM1Z15
3,1050200330200HF0,Q10.Q19.Q24.SQ10.SQ13.Q25,6,貼片三極管,NPN 1A/100V 1W SOT-89,FCX493U 
3,1050200230300HF0,Q20.SQ12,2,貼片三極管,NPN 0.6A/60V SOT-23 ,MMBT2222(1P) 
3,1050200170300HF0,Q23,1,貼片三極管,PNP -0.6A/-60V SOT-23,MMBT2907(2F) 
3,2200801300500HF0,BC10.BC11,2,貼片電感,Bead core Z=470Ω @1MHz,NCP201209T-301Y
3,1030100R02340HF0,D28.R83.R97.R100.R103.R90,6,貼片電阻,0Ω±5% 1206 1/4W,
3,103011K002240HF0,R10.R11.R18.R70.R71.R73.R74.SR11.SR12.SR31.SR37.SR55,12,貼片電阻,1K±5% 0805  1/8W,
3,103011K002340HF0,R12.R50,2,貼片電阻,1K±5% 1206  1/4W,
3,1030122R02320HF0,R13.R24.R30.R31,4,貼片電阻,22Ω±1% 1206  1/4W,
3,1030115K02240HF0,R14.R45.R53.R54.SR13.SR40,6,貼片電阻,15K±5% 0805  1/8W,
3,1030168R02320HF0,R16.R27,2,貼片電阻,68Ω±1% 1206  1/4W,
3,1030110K02240HF0,"R17.R20.R21.R22.R28.R56.R59.R72.R81,SR14,SR18,SR41,SR50",13,貼片電阻,10K±5% 0805  1/8W,
3,103012R202320HF0,R19.R82,2,貼片電阻,2.2Ω±1% 1206  1/4W,
3,10301R0150620HF0,R23.R25.R29.R75,0,貼片電阻,晶片超低阻合金電阻0.015Ω 1% 2512 3W  TYPE: MCR,
3,10301R0150621HF0,R23.R25.R29.R75,4,貼片電阻,晶片超低阻合金電阻0.015Ω 1% 2512 3W  TYPE: LMR,
3,1030122K02240HF0,R26,1,貼片電阻,22K±5% 0805   1/8W,
3,1030147R02320HF0,R15.R80.R92.R95,4,貼片電阻,47Ω±1% 1206  1/4W,
3,103016M202320HF0,R32.R41.R48.R85.R86,5,貼片電阻,6.2M±1% 1206  1/4W,
3,103018M202320HF0,R33.R42,2,貼片電阻,8.2M±1% 1206  1/4W,
3,10301R0250620HF0,R34.R36.R40.R43,0,貼片電阻,晶片超低阻合金電阻0.025Ω1% 2512 3W TYPE: MCR,
3,10301R0250621HF0,R34.R36.R40.R43,4,貼片電阻,晶片超低阻合金電阻0.025Ω1% 2512 3W TYPE: LMR,
3,1030151K02220HF0,R35,1,貼片電阻,51K±1% 0805  1/8W,
3,103012R702240HF0,R37,1,貼片電阻,2.7Ω±5% 0805  1/8W,
3,1030147R02321HF0,R38.R39.,2,貼片電阻,47Ω±1% 1206  1/4W,
3,1030110R02320HF0,SR10,1,貼片電阻,10Ω±1% 1206  1/4W,
3,10301300K2320HF0,R47,1,貼片電阻,300K±1% 1206  1/4W,
3,10301100R2240HF0,R52.R58,2,貼片電阻,100Ω±5% 0805  1/8W,
3,1030100R02240HF0,R55.R61.SR28.SR38.BC12.BC13.SR29,7,貼片電阻,0Ω±5% 0805  1/8W,
3,10301187K2220HF0,R57,1,貼片電阻,187K±1% 0805  1/8W,
3,103013K302220HF0,R60.SR36,2,貼片電阻,3.3K±1% 0805  1/8W,
3,103012M702320HF0,R62.R63,2,貼片電阻,2.7M±1% 1206  1/4W,
